destination,departure_date_time,airplane_name,captain_ssn,pilot_ssn,fsm_ssn,fa_ssn,flight_out,flight_in,arrival_at_dest,departure_from_dest,arrival_back_home

Nuuk,2020-01-01T08:00:00,Boing,0608765899,2804692559,3004733789,,NA010,NA011,2020-01-01T11:20:00,2020-01-01T11:21:00,2020-01-01T14:41:00

Nuuk,2020-01-02T08:00:00,Boing,0608765899,2005863599,1912751259,N/A,NA010,NA011,2020-01-02T11:20:00,2020-01-02T11:21:00,2020-01-02T14:41:00

Nuuk,2020-02-02T08:00:00,Boing,N/A,N/A,N/A,N/A,NA010,NA011,2020-02-02T11:20:00,2020-02-02T11:21:00,2020-02-02T14:41:00

Nuuk,2020-03-03T08:00:00,Boing,0608765899,2005863599,2505712359,3004733789,NA010,NA011,2020-03-03T11:20:00,2020-03-03T11:21:00,2020-03-03T14:41:00

Nuuk,2020-01-05T10:00:00,Boing,1707784499,2808853089,1697299999,2711073899,NA010,NA011,2020-01-05T13:20:00,2020-01-05T13:21:00,2020-01-05T16:41:00

Nuuk,2019-12-10T19:30:00,D-19,1707784499,2808853089,1697299999,2711073899,NA010,NA011,2019-12-10T20:30:00,2019-12-10T21:30:00,2019-12-10T22:30:00

Nuuk,2020-05-07T08:45:00,Q400,1002902299,2203803899,1038038999,N/A,NA010,NA011,2020-05-07T11:13:00,2020-05-07T12:13:00,2020-05-07T14:41:00

Nuuk,2019-12-13T10:30:00,B767,2712883799,2904882309,1705153789,N/A,NA010,NA011,2019-12-13T12:58:00,2019-12-13T13:58:00,2019-12-13T16:26:00

Nuuk,2019-12-13T13:00:00,B767-300,1606763079,2102902089,1810290229,N/A,NA012,NA013,2019-12-13T15:28:00,2019-12-13T16:28:00,2019-12-13T18:56:00

Hinn staðurinn,2019-12-13T13:00:00,Fokker,1102902089,2002902299,1707389899,1290778449,NA060,NA061,2019-12-13T18:07:00,2019-12-13T19:07:00,2019-12-14T00:14:00

